"sigma_yy","strain:0","strain:1","strain:2"
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
-3.5419e-05,0.032823,0.00096147,2.5492e-16
-3.5298e-05,0.032805,0.00096582,2.8958e-16
-3.5176e-05,0.032787,0.00097016,3.2424e-16
-3.5054e-05,0.03277,0.00097451,3.589e-16
-3.4933e-05,0.032752,0.00097885,3.9356e-16
-3.4811e-05,0.032734,0.0009832,4.2822e-16
-3.469e-05,0.032716,0.00098754,4.6288e-16
-3.4568e-05,0.032698,0.00099189,4.9754e-16
-3.4446e-05,0.03268,0.00099623,5.322e-16
-3.4325e-05,0.032663,0.0010006,5.6686e-16
-3.4203e-05,0.032645,0.0010049,6.0152e-16
-3.4082e-05,0.032627,0.0010093,6.3618e-16
-3.396e-05,0.032609,0.0010136,6.7084e-16
-3.3839e-05,0.032591,0.001018,7.055e-16
-3.3717e-05,0.032573,0.0010223,7.4016e-16
-3.3595e-05,0.032556,0.0010267,7.7482e-16
-3.3474e-05,0.032538,0.001031,8.0948e-16
-3.3352e-05,0.03252,0.0010353,8.4414e-16
-3.3231e-05,0.032502,0.0010397,8.7879e-16
-3.3109e-05,0.032484,0.001044,9.1346e-16
-3.2999e-05,0.032468,0.0010486,9.1066e-16
-3.2895e-05,0.032451,0.0010533,8.8914e-16
-3.2791e-05,0.032435,0.001058,8.6761e-16
-3.2687e-05,0.032419,0.0010627,8.4609e-16
-3.2582e-05,0.032403,0.0010674,8.2457e-16
-3.2478e-05,0.032386,0.0010722,8.0305e-16
-3.2374e-05,0.03237,0.0010769,7.8152e-16
-3.227e-05,0.032354,0.0010816,7.6e-16
-3.2166e-05,0.032338,0.0010863,7.3848e-16
-3.2062e-05,0.032321,0.001091,7.1696e-16
-3.1957e-05,0.032305,0.0010957,6.9544e-16
-3.1853e-05,0.032289,0.0011004,6.7391e-16
-3.1749e-05,0.032272,0.0011051,6.5239e-16
-3.1645e-05,0.032256,0.0011098,6.3087e-16
-3.1541e-05,0.03224,0.0011145,6.0935e-16
-3.1437e-05,0.032224,0.0011192,5.8782e-16
-3.1332e-05,0.032207,0.0011239,5.663e-16
-3.1228e-05,0.032191,0.0011286,5.4478e-16
-3.1124e-05,0.032175,0.0011334,5.2326e-16
-3.102e-05,0.032159,0.0011381,5.0173e-16
-3.0916e-05,0.032142,0.0011428,4.8021e-16
-3.0812e-05,0.032126,0.0011475,4.5869e-16
-3.0707e-05,0.03211,0.0011522,4.3717e-16
-3.0603e-05,0.032094,0.0011569,4.1565e-16
-3.0499e-05,0.032077,0.0011616,3.9412e-16
-3.0395e-05,0.032061,0.0011663,3.726e-16
-3.0291e-05,0.032045,0.001171,3.5108e-16
-3.0187e-05,0.032029,0.0011757,3.2955e-16
-3.0082e-05,0.032012,0.0011804,3.0803e-16
-2.9978e-05,0.031996,0.0011851,2.8651e-16
-2.9874e-05,0.03198,0.0011898,2.6499e-16
-2.977e-05,0.031964,0.0011946,2.4347e-16
-2.9666e-05,0.031947,0.0011993,2.2194e-16
-2.9566e-05,0.031931,0.001204,2.2031e-16
-2.9475e-05,0.031917,0.001209,2.5848e-16
-2.9384e-05,0.031902,0.0012139,2.9664e-16
-2.9292e-05,0.031887,0.0012188,3.348e-16
-2.9201e-05,0.031872,0.0012237,3.7297e-16
-2.911e-05,0.031857,0.0012287,4.1113e-16
-2.9019e-05,0.031842,0.0012336,4.4929e-16
-2.8927e-05,0.031827,0.0012385,4.8746e-16
-2.8836e-05,0.031813,0.0012435,5.2562e-16
-2.8745e-05,0.031798,0.0012484,5.6378e-16
-2.8654e-05,0.031783,0.0012533,6.0195e-16
-2.8563e-05,0.031768,0.0012582,6.4011e-16
-2.8471e-05,0.031753,0.0012632,6.7827e-16
-2.838e-05,0.031738,0.0012681,7.1644e-16
-2.8289e-05,0.031723,0.001273,7.546e-16
-2.8198e-05,0.031708,0.0012779,7.9276e-16
-2.8107e-05,0.031694,0.0012829,8.3093e-16
-2.8015e-05,0.031679,0.0012878,8.6909e-16
-2.7924e-05,0.031664,0.0012927,9.0725e-16
-2.7833e-05,0.031649,0.0012976,9.4542e-16
-2.7742e-05,0.031634,0.0013026,9.8358e-16
-2.7651e-05,0.031619,0.0013075,1.0217e-15
-2.7559e-05,0.031604,0.0013124,1.0599e-15
-2.7468e-05,0.031589,0.0013173,1.0981e-15
-2.7377e-05,0.031575,0.0013223,1.1362e-15
-2.7286e-05,0.03156,0.0013272,1.1744e-15
-2.7195e-05,0.031545,0.0013321,1.2126e-15
-2.7103e-05,0.03153,0.0013371,1.2507e-15
-2.7012e-05,0.031515,0.001342,1.2889e-15
-2.6921e-05,0.0315,0.0013469,1.327e-15
-2.683e-05,0.031485,0.0013518,1.3652e-15
-2.6739e-05,0.031471,0.0013568,1.4034e-15
-2.6647e-05,0.031456,0.0013617,1.4415e-15
-2.6556e-05,0.031441,0.0013666,1.4797e-15
-2.6475e-05,0.031427,0.0013716,1.445e-15
-2.6393e-05,0.031414,0.0013767,1.4103e-15
-2.6312e-05,0.0314,0.0013817,1.3756e-15
-2.6231e-05,0.031386,0.0013867,1.3409e-15
-2.6149e-05,0.031373,0.0013918,1.3062e-15
-2.6068e-05,0.031359,0.0013968,1.2715e-15
-2.5986e-05,0.031346,0.0014018,1.2367e-15
-2.5905e-05,0.031332,0.0014069,1.202e-15
