"sigma_yy","strain:0","strain:1","strain:2","Points:0","Points:1","Points:2"
0.00016535,0.041916,0.0021884,-7.5607e-08,47.92,50,0
0.00016343,0.041839,0.0021495,-7.5707e-08,47.975,50,0
0.00016189,0.041774,0.0021208,-7.5807e-08,48.03,50,0
0.00016068,0.041719,0.0021006,-7.5906e-08,48.085,50,0
0.00015946,0.041665,0.0020804,-7.6005e-08,48.14,50,0
0.00015825,0.04161,0.0020602,-7.6103e-08,48.195,50,0
0.00015704,0.041555,0.00204,-7.6202e-08,48.25,50,0
0.00015583,0.0415,0.0020198,-7.6301e-08,48.305,50,0
0.00015462,0.041445,0.0019996,-7.64e-08,48.36,50,0
0.00015341,0.041391,0.0019794,-7.6499e-08,48.415,50,0
0.00015219,0.041336,0.0019592,-7.6598e-08,48.47,50,0
0.00015098,0.041281,0.0019391,-7.6697e-08,48.525,50,0
0.00014977,0.041226,0.0019189,-7.6796e-08,48.58,50,0
0.00014856,0.041171,0.0018987,-7.6895e-08,48.635,50,0
0.00014735,0.041117,0.0018785,-7.6994e-08,48.69,50,0
0.00014614,0.041062,0.0018583,-7.7093e-08,48.745,50,0
0.00014492,0.041007,0.0018381,-7.7191e-08,48.8,50,0
0.00014371,0.040952,0.0018179,-7.729e-08,48.855,50,0
0.0001425,0.040897,0.0017977,-7.7389e-08,48.91,50,0
0.00014129,0.040843,0.0017775,-7.7488e-08,48.965,50,0
0.00014008,0.040788,0.0017573,-7.7587e-08,49.02,50,0
0.00013887,0.040733,0.0017371,-7.7686e-08,49.075,50,0
0.00013765,0.040678,0.0017169,-7.7785e-08,49.13,50,0
0.00013644,0.040623,0.0016967,-7.7884e-08,49.185,50,0
0.00013523,0.040569,0.0016766,-7.7983e-08,49.24,50,0
0.00013402,0.040514,0.0016564,-7.8082e-08,49.295,50,0
0.00013281,0.040459,0.0016362,-7.818e-08,49.35,50,0
0.0001316,0.040404,0.001616,-7.8279e-08,49.405,50,0
0.00013038,0.040349,0.0015958,-7.8378e-08,49.46,50,0
0.00012917,0.040295,0.0015756,-7.8477e-08,49.515,50,0
0.00012796,0.04024,0.0015554,-7.8576e-08,49.57,50,0
0.00012675,0.040185,0.0015352,-7.8675e-08,49.625,50,0
0.00012554,0.04013,0.001515,-7.8774e-08,49.68,50,0
0.00012433,0.040075,0.0014948,-7.8873e-08,49.735,50,0
0.00012312,0.040021,0.0014746,-7.8972e-08,49.79,50,0
0.0001219,0.039966,0.0014544,-7.9071e-08,49.845,50,0
0.00012069,0.039911,0.0014342,-7.917e-08,49.9,50,0
0.00011948,0.039856,0.0014141,-7.9268e-08,49.955,50,0
0.00011835,0.039804,0.0013955,-7.9364e-08,50.01,50,0
0.00011762,0.039761,0.0013846,-7.9447e-08,50.065,50,0
0.00011688,0.039719,0.0013737,-7.9529e-08,50.12,50,0
0.00011614,0.039677,0.0013627,-7.9611e-08,50.175,50,0
0.0001154,0.039635,0.0013518,-7.9693e-08,50.23,50,0
0.00011466,0.039592,0.0013408,-7.9776e-08,50.285,50,0
0.00011393,0.03955,0.0013299,-7.9858e-08,50.34,50,0
0.00011319,0.039508,0.001319,-7.994e-08,50.395,50,0
0.00011245,0.039466,0.001308,-8.0023e-08,50.45,50,0
0.00011171,0.039423,0.0012971,-8.0105e-08,50.505,50,0
0.00011097,0.039381,0.0012861,-8.0187e-08,50.56,50,0
0.00011024,0.039339,0.0012752,-8.027e-08,50.615,50,0
0.0001095,0.039297,0.0012643,-8.0352e-08,50.67,50,0
0.00010876,0.039254,0.0012533,-8.0434e-08,50.725,50,0
0.00010802,0.039212,0.0012424,-8.0516e-08,50.78,50,0
0.00010728,0.03917,0.0012314,-8.0599e-08,50.835,50,0
0.00010655,0.039128,0.0012205,-8.0681e-08,50.89,50,0
0.00010581,0.039085,0.0012096,-8.0763e-08,50.945,50,0
0.00010507,0.039043,0.0011986,-8.0846e-08,51,50,0
0.00010433,0.039001,0.0011877,-8.0928e-08,51.055,50,0
0.00010359,0.038959,0.0011767,-8.101e-08,51.11,50,0
0.00010285,0.038916,0.0011658,-8.1093e-08,51.165,50,0
0.00010212,0.038874,0.0011549,-8.1175e-08,51.22,50,0
0.00010138,0.038832,0.0011439,-8.1257e-08,51.275,50,0
0.00010064,0.03879,0.001133,-8.1339e-08,51.33,50,0
9.9902e-05,0.038747,0.001122,-8.1422e-08,51.385,50,0
9.9164e-05,0.038705,0.0011111,-8.1504e-08,51.44,50,0
9.8426e-05,0.038663,0.0011002,-8.1586e-08,51.495,50,0
9.7688e-05,0.038621,0.0010892,-8.1669e-08,51.55,50,0
9.695e-05,0.038578,0.0010783,-8.1751e-08,51.605,50,0
9.6212e-05,0.038536,0.0010673,-8.1833e-08,51.66,50,0
9.5474e-05,0.038494,0.0010564,-8.1916e-08,51.715,50,0
9.4736e-05,0.038452,0.0010455,-8.1998e-08,51.77,50,0
9.3998e-05,0.038409,0.0010345,-8.208e-08,51.825,50,0
9.326e-05,0.038367,0.0010236,-8.2162e-08,51.88,50,0
9.2522e-05,0.038325,0.0010126,-8.2245e-08,51.935,50,0
9.1783e-05,0.038283,0.0010017,-8.2327e-08,51.99,50,0
9.1253e-05,0.038247,0.00099511,-8.239e-08,52.045,50,0
9.0769e-05,0.038212,0.00098949,-8.2449e-08,52.1,50,0
9.0285e-05,0.038178,0.00098387,-8.2507e-08,52.155,50,0
8.9801e-05,0.038144,0.00097826,-8.2566e-08,52.21,50,0
8.9316e-05,0.03811,0.00097264,-8.2625e-08,52.265,50,0
8.8832e-05,0.038075,0.00096702,-8.2683e-08,52.32,50,0
8.8348e-05,0.038041,0.0009614,-8.2742e-08,52.375,50,0
8.7864e-05,0.038007,0.00095578,-8.2801e-08,52.43,50,0
8.738e-05,0.037972,0.00095016,-8.2859e-08,52.485,50,0
8.6896e-05,0.037938,0.00094454,-8.2918e-08,52.54,50,0
8.6411e-05,0.037904,0.00093892,-8.2977e-08,52.595,50,0
8.5927e-05,0.037869,0.0009333,-8.3035e-08,52.65,50,0
8.5443e-05,0.037835,0.00092768,-8.3094e-08,52.705,50,0
8.4959e-05,0.037801,0.00092207,-8.3153e-08,52.76,50,0
8.4475e-05,0.037767,0.00091645,-8.3211e-08,52.815,50,0
8.3991e-05,0.037732,0.00091083,-8.327e-08,52.87,50,0
8.3506e-05,0.037698,0.00090521,-8.3329e-08,52.925,50,0
8.3022e-05,0.037664,0.00089959,-8.3387e-08,52.98,50,0
8.2538e-05,0.037629,0.00089397,-8.3446e-08,53.035,50,0
8.2054e-05,0.037595,0.00088835,-8.3505e-08,53.09,50,0
8.157e-05,0.037561,0.00088273,-8.3563e-08,53.145,50,0
8.1086e-05,0.037527,0.00087711,-8.3622e-08,53.2,50,0
8.0601e-05,0.037492,0.00087149,-8.3681e-08,53.255,50,0
8.0117e-05,0.037458,0.00086588,-8.3739e-08,53.31,50,0
7.9633e-05,0.037424,0.00086026,-8.3798e-08,53.365,50,0
7.9149e-05,0.037389,0.00085464,-8.3857e-08,53.42,50,0
7.8665e-05,0.037355,0.00084902,-8.3915e-08,53.475,50,0
7.8181e-05,0.037321,0.0008434,-8.3974e-08,53.53,50,0
7.7696e-05,0.037286,0.00083778,-8.4033e-08,53.585,50,0
7.7212e-05,0.037252,0.00083216,-8.4091e-08,53.64,50,0
7.6728e-05,0.037218,0.00082654,-8.415e-08,53.695,50,0
7.6244e-05,0.037184,0.00082092,-8.4209e-08,53.75,50,0
