,t,crack_length,g_frac,g_v,Fy,Time,f_flex,f_frac,f_grad
1492,1593.0,85.5,21.907532902441137,-134.56410656678892,150.80549477435855,1593,-425.19,1818.8,44.069
1501,1602.0,86.0,22.316490127238215,-133.83677265193091,130.39266435647264,1602,-434.14,1849.7,41.686
1509,1610.0,86.5,22.372407203727036,-137.1272507184607,110.90517053476184,1610,-435.78,1858.0,39.903
1517,1618.0,87.0,22.041786459807287,-136.77220727948162,98.09276387455606,1618,-434.3,1860.0,37.425
1525,1626.0,87.5,22.059648552823376,-140.83308156120728,84.57465799612774,1626,-453.61,1867.8,34.578
1533,1634.0,88.0,22.474411080956813,-140.5407879543244,66.57852196368043,1634,-477.94,1896.5,32.441
1541,1642.0,88.5,22.54792158937733,-144.93056744283206,44.96562650922473,1642,-494.39,1904.6,30.76
1549,1650.0,89.0,22.2091161090328,-145.8966923606417,30.062980191846915,1650,-488.18,1905.7,28.741
1556,1657.0,89.5,22.210265731348557,-150.34365832279587,18.96495248603049,1657,-487.62,1908.9,26.773
1564,1665.0,90.0,22.66670052974956,-151.04628245809567,1.7590625050274866,1665,-495.76,1923.5,24.827
