,t,crack_length,g_frac,g_v,Fy
1161,1162.0,61.5,21.74162333860189,-71.15321235985735,824.5624649327264
1178,1179.0,62.0,21.9519820133842,-74.95862504456986,814.4494941580156
1193,1194.0,62.5,22.571132386169285,-78.31427858836923,808.0474844300905
1209,1210.0,63.0,22.28506465079065,-78.7089796455225,804.9293540239804
1224,1225.0,63.5,22.334509925127268,-81.66538122654117,801.1482301116928
1239,1240.0,64.0,22.276216806794032,-81.88426480854868,799.6831539284183
1254,1255.0,64.5,22.61392797640613,-84.53173568403614,804.9734601908673
1268,1269.0,65.0,21.928751021295607,-86.48240362287393,818.4230414435149
1282,1283.0,65.5,21.66305488786167,-90.62239520518612,829.7124591732278
1296,1297.0,66.0,21.92775679113849,-94.831006110621,825.6263982813825
1307,1308.0,66.5,21.85952086361884,-99.5952625531275,789.3982130481023
1322,1323.0,67.0,21.48276806850678,-79.57238037236074,741.5755747519929
1341,1342.0,67.5,21.572180624554107,-69.30062122719458,722.8210231048255
1363,1364.0,68.0,22.053220458751326,-59.90988867764983,704.9016790008444
1386,1387.0,68.5,22.233324718367736,-54.043463441307104,681.5472791251036
1411,1412.0,69.0,21.93949635797636,-51.29574281366634,666.0682606198922
1434,1435.0,69.5,21.891084031661805,-53.11309832305638,652.452880759506
1453,1454.0,70.0,22.215351884290527,-57.38759110900209,646.4502743668533
1472,1473.0,70.5,22.2014443869249,-58.44528110712843,653.569479974558
1492,1493.0,71.0,21.79049883710919,-60.42606645476306,655.1325984741821
1511,1512.0,71.5,21.763843579523247,-62.64409059806082,644.2373473736781
1530,1531.0,72.0,22.11200594900123,-65.39216764041268,624.5641020297091
1547,1548.0,72.5,22.108087743371456,-67.70860448003486,600.1950184885827
1564,1565.0,73.0,21.602109473583138,-70.60908861234051,577.9647514586319
1580,1581.0,73.5,21.38553394252234,-73.14741374310572,561.2163377989864
1596,1597.0,74.0,21.461038239078857,-74.70390304071884,547.561190596833
1612,1613.0,74.5,21.333701010684177,-76.5719399663622,534.6323684878053
1627,1628.0,75.0,20.89123283309093,-78.45260654780033,525.6049025790321
1642,1643.0,75.5,20.770086405922324,-80.64356905249187,516.9703670670082
1656,1657.0,76.0,20.931049660652647,-81.80993002898839,507.9697920359937
1670,1671.0,76.5,20.647578687758767,-83.92790723309706,496.9646309187671
1684,1685.0,77.0,20.572686337983743,-85.34740736918572,486.745953946087
1698,1699.0,77.5,20.53741575052466,-88.1558318468547,475.7962812236732
1711,1712.0,78.0,20.77701624377329,-88.76750624747169,464.8975127368328
1724,1725.0,78.5,20.556855206603647,-91.45147137506795,452.57041721096806
1738,1739.0,79.0,20.536275120092824,-92.83894292087491,441.5242136780953
1750,1751.0,79.5,20.51322993883615,-95.70617025869004,432.3637449842402
1763,1764.0,80.0,20.541475475232502,-96.1775926456814,421.4731818838121
1774,1775.0,80.5,20.807866981707985,-99.09815559754576,410.5664895428846
1787,1788.0,81.0,20.62019694304773,-99.75076122270283,400.23898296890377
1798,1799.0,81.5,20.602270538040194,-103.44278317032835,391.9518623567266
